tick;adc
1933;2112
1934;2106
1935;2097
1936;2087
1937;2083
1938;2081
1939;2073
1940;2022
1941;2058
1942;2049
1943;2041
1944;2027
1945;2027
1946;2018
1947;2003
1948;2001
1949;2013
1950;1993
1951;1979
1952;1971
1953;1969
1954;1970
1955;1954
1956;1946
1957;1948
1958;1930
1959;1920
1960;1920
1961;1907
1962;1903
1963;1894
1964;1880
1965;1878
1966;1868
1967;1879
1968;1856
1969;1849
1970;1843
1971;1826
1972;1822
1973;1829
1974;1808
1975;1799
1976;1797
1977;1783
1978;1779
1979;1769
1980;1755
1981;1754
1982;1746
1983;1736
1984;1734
1985;1725
1986;1720
1987;1700
1988;1706
1989;1686
1990;1685
1991;1672
1992;1668
1993;1662
1994;1652
1995;1648
1996;1637
1997;1624
1998;1623
1999;1617
2000;1608
2001;1602
2002;1593
2003;1588
2004;1575
2005;1571
2006;1564
2007;1557
2008;1554
2009;1541
2010;1533
2011;1529
2012;1519
2013;1541
2014;1513
2015;1499
2016;1496
2017;1482
2018;1481
2019;1495
2020;1464
2021;1459
2022;1455
2023;1439
2024;1432
2025;1425
2026;1417
2027;1409
2028;1402
2029;1400
2030;1388
2031;1336
2032;1378
2033;1361
2034;1356
2035;1344
2036;1339
2037;1349
2038;1325
2039;1321
2040;1310
2041;1307
2042;1296
2043;1290
2044;1288
2045;1271
2046;1257
2047;1251
2048;1266
2049;1231
2050;1226
2051;1217
2052;1211
2053;1204
2054;1193
2055;1186
2056;1182
2057;1166
2058;1162
2059;1151
2060;1140
2061;1138
2062;1132
2063;1118
2064;1113
2065;1107
2066;1092
2067;1087
2068;1071
2069;1070
2070;1069
2071;1064
2072;1048
2073;1044
2074;1049
2075;1023
2076;1017
2077;1014
2078;994
2079;994
2080;981
2081;976
2082;971
2083;962
2084;962
2085;950
2086;944
2087;900
2088;922
2089;912
2090;913
2091;903
2092;848
2093;884
2094;880
2095;869
2096;865
2097;865
2098;846
2099;840
2100;839
2101;824
2102;818
2103;813
2104;802
2105;793
2106;791
2107;888
2108;740
2109;765
2110;757
2111;756
2112;746
2113;718
2114;725
2115;722
2116;714
2117;703
2118;701
2119;691
2120;680
2121;673
2122;665
2123;662
2124;651
2125;640
2126;642
2127;636
2128;624
2129;617
2130;604
2131;600
2132;594
2133;590
2134;583
2135;569
2136;571
2137;555
2138;552
2139;544
2140;541
2141;531
2142;525
2143;508
2144;510
2145;484
2146;495
2147;488
2148;481
2149;474
2150;466
2151;459
2152;481
2153;445
2154;439
2155;435
2156;430
2157;423
2158;414
2159;407
2160;401
2161;393
2162;378
2163;374
2164;367
2165;364
2166;344
2167;349
2168;344
2169;339
2170;326
2171;321
2172;315
2173;302
2174;303
2175;290
2176;280
2177;281
2178;262
2179;260
2180;252
2181;240
2182;234
2183;227
2184;222
2185;209
2186;202
2187;192
2188;193
2189;184
2190;173
2191;172
2192;168
2193;154
2194;154
2195;143
2196;143
2197;137
2198;139
2199;147
2200;141
2201;143
2202;141
2203;136
2204;140
2205;131
2206;137
2207;137
2208;137
2209;132
2210;143
2211;137
2212;138
2213;128
2214;138
2215;136
2216;137
2217;134
2218;136
2219;136
2220;134
2221;141
2222;139
2223;137
2224;134
2225;135
2226;136
2227;136
2228;132
2229;141
2230;134
2231;130
2232;145
2233;136
2234;136
2235;134
2236;135
2237;136
2238;135
2239;134
2240;137
2241;138
2242;138
2243;142
2244;135
2245;135
2246;135
2247;133
2248;136
2249;138
2250;137
2251;137
2252;136
2253;136
2254;138
2255;139
2256;136
2257;138
2258;138
2259;136
2260;137
2261;128
2262;139
2263;136
2264;132
2265;137
2266;136
2267;135
2268;136
2269;120
2270;133
2271;138
2272;133
2273;140
2274;133
2275;136
2276;134
2277;133
2278;135
2279;137
2280;133
2281;135
2282;140
2283;126
2284;144
2285;137
2286;139
2287;137
2288;139
2289;136
2290;136
2291;135
2292;134
2293;144
2294;137
2295;134
2296;131
2297;136
2298;137
2299;138
2300;135
2301;137
2302;132
2303;133
2304;142
2305;144
2306;136
2307;135
2308;137
2309;140
2310;139
2311;137
2312;133
2313;138
2314;134
2315;137
2316;134
2317;137
2318;136
2319;140
2320;138
2321;136
2322;135
2323;137
2324;137
2325;138
2326;138
2327;132
2328;134
2329;136
2330;135
2331;136
2332;142
2333;138
2334;135
2335;138
2336;134
2337;135
2338;133
2339;139
2340;136
2341;133
2342;139
2343;132
2344;133
2345;137
2346;140
2347;136
2348;137
2349;134
2350;136
2351;140
2352;134
2353;126
2354;138
2355;136
2356;134
2357;131
2358;136
2359;136
2360;136
2361;130
2362;137
2363;136
2364;128
2365;134
2366;138
2367;137
2368;133
2369;136
2370;140
2371;133
2372;135
2373;135
2374;135
2375;130
2376;137
2377;134
2378;134
2379;132
2380;134
2381;127
2382;136
2383;140
2384;136
2385;138
2386;137
2387;137
2388;137
2389;136
2390;138
2391;134
2392;139
2393;140
2394;139
2395;136
2396;142
2397;134
2398;136
2399;137
2400;133
2401;142
2402;142
2403;147
2404;146
2405;143
2406;142
2407;147
2408;144
2409;148
2410;153
2411;151
2412;149
2413;150
2414;160
2415;149
2416;155
2417;154
2418;154
2419;161
2420;165
2421;158
2422;165
2423;166
2424;168
2425;171
2426;170
2427;168
2428;172
2429;165
2430;171
2431;170
2432;169
2433;171
2434;170
2435;169
2436;175
2437;173
2438;170
2439;173
2440;172
2441;174
2442;175
2443;199
2444;197
2445;197
2446;194
2447;203
2448;201
2449;197
2450;188
2451;196
2452;196
2453;196
2454;199
2455;197
2456;198
2457;196
2458;194
2459;194
2460;199
2461;196
2462;196
2463;195
2464;198
2465;201
2466;198
2467;202
2468;200
2469;191
2470;195
2471;198
2472;197
2473;190
2474;199
2475;198
2476;199
2477;200
2478;198
2479;196
2480;196
2481;197
2482;199
2483;198
2484;200
2485;201
2486;206
2487;196
2488;192
2489;197
2490;195
2491;195
2492;200
2493;191
2494;194
2495;197
2496;198
2497;193
2498;201
2499;191
2500;197
2501;154
2502;198
2503;197
2504;198
2505;197
2506;196
2507;196
2508;195
2509;200
2510;196
2511;197
2512;222
2513;196
2514;195
2515;196
2516;195
2517;197
2518;199
2519;202
2520;196
2521;196
2522;198
2523;197
2524;198
2525;200
2526;198
2527;197
2528;200
2529;192
2530;199
2531;197
2532;197
2533;194
2534;204
2535;197
2536;197
2537;192
2538;196
2539;202
2540;196
2541;202
2542;197
2543;197
2544;199
2545;193
2546;194
2547;198
2548;197
2549;198
2550;193
2551;197
2552;205
2553;193
